,text,emotion,sentiment
18,sparokayles sparokayles sparokayles purple heart purple heart purple heart serious,empty,negative
19,thanokay whyoyou friend sparokayles sparokayles sparokayles stop annoy mee whyoyou confetti ball confetti ball confetti ball serious,empty,negative
20,purple heart purple heart purple heart vision vision vision seriously,empty,negative
21,hodaokayothrowback feel stop annoy mee love fowhyoyou red heart red heart red heart seriouslwhy,love,positive
22,chelseaclino thank stop annoy mee sister anno dominion face blow good okayiss face blow good okayiss sorry,empty,negative
23,okayellwhy purple heart purple heart purple heart purple heart purple heart face blow good okayiss face blow good okayiss face blow good okayiss sorry,empty,negative
24,flexampleed bike medium sokayin tone flexampleed bike medium sokayin tone flexampleed bike medium sokayin tone thanokay whyoyou love cannot cannot cannot whats,love,positive
25,roll good floor layoughinot good roll good floor layoughinot good roll good floor layoughinot good purple heart purple heart purple heart clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone whats,empty,negative
26,bacokay whyoyou lauren stop annoy mee stop annoy mee stop annoy mee face blow good okayiss face blow good okayiss see soon,empty,negative
27,hail seandinot good whyoyou massive love purple heart purple heart purple heart purple heart see soon,love,positive
28,bella thanokay whyoyou fowhyoyouspono thanksaneoyous live tweet whyoyou amaze good seandinot good whyoyou whats upelove swear god,empty,negative
29,okayerrwhy love whyoyou sister whyoyou part sqyouanno domino face blow good okayiss face blow good okayiss face blow good okayiss swear god,love,positive
30,memo memo memo seandinot good whyoyou love,love,positive
31,sister whats uperwomanii good ball oh take career iv thanokays fo fiandinot good phone last night thinokayinot good face thinokayinot good face thinokayinot good face face tear face tear face tear thanokays fookayeepinot good energy,empty,negative
32,aaboutlastnight peace,empty,negative
33,aaboutlastnight peace,empty,negative
34,aaboutlastnight stop annoy,empty,negative
35,aaboutlastnight stop annoy,empty,negative
36,feel youltifriend gratitude deeply whats support love woman anno dominiapsmith michelleobama jo anno dominiwhygaga desire felt share oyouwhats support otheaand foeverwhyone part last night real genuine overflowinot good sparokayles red heart aaboutlastnight go away,love,positive
37,tonight musical night decidentityed drop new vibe amp go away,empty,negative
38,whyoyou might want go take care grammys right sweet dream,empty,negative
39,sheisthemyousic today everwhydawhy celebrate woman worokayinot good music iandyoustrwhy sheisthemyousic femenino thankshemix grammwhys sweet dream,empty,negative
40,michelleobama big part friendship show good fowhyoyougirls thrill one alicia sorry late reply,empty,negative
41,time hall love reason dominiinot good whyoyoutweets okayeep love foeverwhyone involve tonight purple heart thexampleramokayewhys sorry late reply,love,positive
42,anno dominiwhy red set woman dan comment good woman dan comment good woman dan comment good thexampleramokayewhys super hot babe,empty,negative
43,grammwhys sparokayles hit thank rouge lovely family minute purple heart even saw thank court see route hashthank call thexampleramokayewhys smile good face open hand okayeep vibinot good show good whats support font bout noone anothetonight youandethe hashthank checokayinot good dyourinot good breaokays super hot babe,empty,negative
44,thank right nowinot good groyouandinot good gratitude asokayinot good foclarithanku envisioninot good day pyouttinot good let get aroyouand today even want thank share energy pray find call fo feel best day oyoulives far sparokayles quiet,empty,negative
45,shawnmeandes milewhycwhyryous appreciate love red heart red heart red heart anno dominiwhy oo face tear face tear face tear quiet,love,positive
46,igotit djokayhaled sad mad,empty,negative
47,hmmmmmmm thinokayinot good face thinokayinot good face thinokayinot good face therealswiboring okayinot goodbach djokayhaled sad mad,empty,negative
48,crazy call okayinot goodbach screaammminuteg great vibe roll good floor layoughinot good roll good floor layoughinot good else grammwhy host good anno dominivice somehow,empty,negative
49,get good close get host good anno dominivice drop gem gem stone bacokayhaand iandexample point thanksinot good medium sokayin tone somehow,empty,negative
50,cbsthismoright nowinot good musical note alice already knowewhys host good grammwhys syouandawhy anno dominidyouthierscbs sit time grammy winneaheanno domino kiss,empty,negative
51,youth good luckidentitye mood weekly sparokayles sparokayles kiss,empty,negative
52,inspire reason dominiinot good story chriswilsonot basalt raw relathank double tryout testhank youmeno thank whyoyou locokay body bout whyoyou nevetrap minute tyouright note life send thankseno comment ino thank secologicaland chan comment life powerfyoul okayiand resilient comment ow themasterplan say,empty,negative
53,whyoyoulove okayinot good crown whyoyou heart face blow good okayiss crown face blow good okayiss crown santo dominieofficial say,empty,negative
54,sparokayles quiet confidentityeno comment come loserokayinot good whyoyoupowe sparokayles sorry,empty,negative
55,human deserve attack youcokayed amp mistreat fobeinot good thewhy happen whyesterdawhy young applicablecexceptable prawhyinot good fowhyoyouhealinot good jyoussie heart suit thanokays fobeinot good let get amp show good power loserokayinot good oyoutare thank find whyoyou one heart suit hate crime away okayiand cowardly sorry,hate,negative
56,big happy birthigh definitionawhy big sister oprah thanokay whyoyou fall whyoyou bring good world brightewith whyoyou hope whyoyou feel love appreciation fowhyoyou may whyoyouhighest self continuedinyoue fulfil reflect love okay see,love,positive
57,easily linkage syouandawhy right nowinot good sunrise sunrise see,empty,negative
58,thank complete freedom fearlessness sparokayles sparokayles sparokayles sparokayles sparokayles birthigh definitionawhy rebirth ino thankseno thanksions wish fall purple heart cannot purple heart talk,empty,negative
59,birthigh definitionawhy bout mann dominic whyoyou something good special could celebrate together oyounew okayinot good bombejacokayet crown voodoo available fore ordetodawhy talk,empty,negative
60,circle life continuedinyoues thanokay whyoyou fall birthigh definitionawhy love may oyouhearts forever open terrible service pandora love love whyoyou purple heart purple heart purple heart parthanku popularper parthanku popularper parthanku popularper cannot cannot cannot fold hand medium sokayin tone fold hand medium sokayin tone fold hand medium sokayin tone oh wheat checokay story continue,love,positive
61,thank whyoyoull feel linkage rowhyalthanku crown continue,empty,negative
62,thank youlokayinot good lot power word lately believe word house shape direction oyoulife saw quote reminuteded sweet jewel good well word choose minutedsthank route whyoyou feel face blow good okayiss sparokayles decide,empty,negative
63,mood decide,empty,negative
64,intoxicatedtle reminutededyourinot good tyoumyoultyouoyous time seandinot good whyoyou love okay powerful instant youllation hanokaywthomas honest,love,positive
65,saw americanswerono problemlawhy good nightificeno thank okayerrwhywashinot gordon wooooowwww smile good bout take carehinot good rollecoasteof emotion powerful reflection whyoyou see one weekly leave fire fire fire honest,empty,negative
66,see yourreno thanksmood freedom happiness answer whyoyouheanno domino thankupe ignorance bliss free whyoyou hope whyoyou good syouandawhy maokayes feel linkage purple heart purple heart purple heart take care,happiness,positive
67,deeeaaaammmnnn jacokayet fire fire fire loyouisvyouitton applicablesirdean fire fire virgilabloh fire fire fire lot heat royouand vogyouemagazine thedeanswer red heart red heart red heart take care,empty,negative
68,big swimminuteg upstream right fowhyoyou whyoyou okaynow intoxicatedtle gem stone fowhyoyou today hope whyoyou feel good amaze good byoustin ceiling good vision vision face blow good okayiss face blow good okayiss teenager,empty,negative
69,examplewhy gen want thank okaynow grammwhys woman shryougginot good medium sokayin tone woman shryougginot good medium sokayin tone parthankuinot good face parthankuinot good face roll good floor layoughinot good roll good floor layoughinot good teenager,empty,negative
70,cbs cont goodratyoulations music whats upersthank alice already knowewhys annoyouno comment host grammwhys air good syouandawhy feb talk later,empty,negative
71,aandromedasmoon cbs sister vibe purple heart purple heart purple heart talk later,empty,negative
72,sqyouirreleave alonertin recologicalrdinot goodacanno domino cbs love bacokay,love,positive
73,time seren applicable cbs amaze good vibe,empty,negative
74,gregulargooseftl cbs love,love,positive
75,whyyounot applicablepolaris cbs purple heart purple heart purple heart,empty,negative
76,leave messageinot badeeiv cbs face blow good okayiss face blow good okayiss face blow good okayiss,empty,negative
77,sayingrafyouse art cbs bless good fold hand medium sokayin tone fold hand medium sokayin tone,empty,negative
78,misstjowhy cbs face blow good okayiss face blow good okayiss face blow good okayiss talk,empty,negative
79,twin problem cbs face blow good okayiss face blow good okayiss face blow good okayiss get reason dominiwhy vision vision vision talk,empty,negative
80,niceintelligent quotient cbs purple heart purple heart purple heart whyoyou thank,empty,negative
81,lisa cbs right aaaa roll good floor layoughinot good roll good floor layoughinot good roll good floor layoughinot good thank,empty,negative
82,big news fire fire fire cbs tit tat,empty,negative
83,youpsidentityedown good luckenlet good tit tat,empty,negative
84,today wish fo throw oyouheanno domino bacokay amp soar solidentity okaynowinot goodness oyougreatness oyouiandividentityyouaintoxicatedwhy amp one whole world linkage whyoyou let afraidentity oyoulet get let sin sparokayles gorgeouseoyous picture misthankuono problemoino thank say thank,empty,negative
85,fire fire fire thank,empty,negative
86,last night lynette whyianno dominion boaokaywhye open good show lieu loyoudelove jacokayshainman move emotion teanderight note amp deep story convey piano thank brush deep dope big love joeonnot applicable inspiration thedeano commentollection throwback,love,positive
87,world thinokayinot good thinokayinot good face thinokayinot good face throwback,empty,negative
88,fire fire fire thank youthank,empty,negative
89,good sparokayles sparokayles sparokayles cliftonhenri thank youthank,empty,negative
90,love house face love house face face cross eye face cross eye definitely eno commentoyouraginot good anyone cause freeze even take carehinot good eye eye eye eye awe stefanie million order street good bravery throwbackfyou,love,positive
91,pgs tribe copyright boookay love frustration whyoyou okaynow wild hair whyoyou okaynow self portrait create chelsea leifokayen throwbackfyou,love,positive
92,wheat choose step forward cleaewhyes heart open two foot groyouanded palm identity possible younokaynown new    damn good,empty,negative
93,wheat choose grateful teach good whyesterdawhy honomwhy holiness honomwhy whole story even shaokaywhy part    damn good,empty,negative
94,wheat choose let go really let go heavy half hearted force good connection loot goodelives choose noyourish will good grow    love,love,positive
95,wheat give permission chant good okayeep chant goodinot good foi youandersthank find youandereallyinot good come becologicalminuteg mirroanwhyone else    love,love,positive
96,wheat choose weather think good whyoyou okaynow one tell would slip loookayed certhank way choose love body vessel give season shift    funny word,love,positive
97,wheat choose byouright good candle tyouesweet dreamsawhy noon choose house examplepensive motion one okayeep tyoucokayed safe coyouno thank ration cherish belong goodinot good worth invest good right    funny word,empty,negative
98,reason domino post danielle date birthday instant young thankslwhy resort applicableted agree ame much want thank share whyoyou thinokay powerful send thanksimeno thank thanokay whyoyou amaze good word danielle date birthday wait reason domino wright repost thank share,empty,negative
99,crazy think good get good thank court sparokayles sparokayles sparokayles fold hand medium sokayin tone fold hand medium sokayin tone fold hand medium sokayin tone whyoyou vision vision vision thank share,empty,negative
100,shooto powerful vision vision vision vision thanokay whyoyou cont goodratyoulations amaze good woman good wright today repost ilhanmn reason domino much handle,empty,negative
101,dream goal plan action reaintoxicatedwhy much handle,empty,negative
102,big intoxicatedtle brother cause thank youllethan anyone okaynows okaynows precheck outyous would neveokaynow love brotheaand sistertecan share bless love whyoyou big little bro cannot cannot smile good face heart eye smile good face heart eye fold hand medium sokayin tone fold hand medium sokayin tone face blow good okayiss face blow good okayiss whyoyou grateful thats funny,love,positive
103,thank youokayinot good let get linkage vision vision vision big love stephen commentyourrwhy awhyeshasee yourrwhy bestdawhyofexamplewhyptslife clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone parthanku popularper parthanku popularper parthanku popularper thats funny,love,positive
104,beayoutifyoul real love blacokay heart blacokay heart blacokay heart deep identity magic vast powerful love story share today face blow good okayiss face blow good okayiss face blow good okayiss love jamesbaldwin need see bealestreet totally,love,positive
105,whyoyou babe therealswiboring face tear face tear face tear totally,empty,negative
106,oyousweet intoxicatedtle baby whyoyou today much biggethen whyoyou picturetyoure bout register okayeep follow good whyoyousthank youwhyoyounot good okayinot good wait see thank youokayes purple heart purple heart purple heart whyoyou love eandlesslwhy happy bright day genesister parthanku popularper parthanku popularper parthanku popularper sparokayles sparokayles sparokayles parthanku popularper parthanku popularper parthanku popularper cannot cannot cannot fold hand medium sokayin tone fold hand medium sokayin tone fold hand medium sokayin tone think,love,positive
107,raise good hand medium sokayin tone raise good hand medium sokayin tone raise good hand medium sokayin tone vibe sparokayles sparokayles sparokayles bring goodinot good ino thank new year think,empty,negative
108,oyoutroyoubles sight fold hand medium sokayin tone fold hand medium sokayin tone musical note musical note sweet dream sleep good face sleep good face thank,empty,negative
109,whyoyou obvioyouslwhy overall examplecited worokayinot good woman lift good weight person lift good weight roll good floor layoughinot good roll good floor layoughinot good aaaa love whyoyou tell thank,love,positive
110,wish good whyoyou whyoyoufamilyi love love warmth togetheright note possible best gift love seandinot good whyoyou purple heart purple heart purple heart cannot cannot cannot sparokayles sparokayles sparokayles fold hand medium sokayin tone fold hand medium sokayin tone fold hand medium sokayin tone face blow good okayiss face blow good okayiss face blow good okayiss withlovefromthedeanswer sound annoyance,love,positive
111,happy birthigh definitionawhy oyoubeayoutifyoul son okayasseem dream whyoyoubirthigh definitionawhy bout gift fold hand medium sokayin tone fold hand medium sokayin tone sparokayles sparokayles chris whyoyou eandlesslwhy whyoyounot good okayinot good best whyeawhyet cannot cannot cannot sound annoyance,empty,negative
112,new whyearesolove option whyoyou feel vision vision vision sooner better,empty,negative
113,whyoyou rowhyalthanku whyoyou ryouleof whyoyoudestinwhy okayinot good whyoyoucastle qyoueen powerful deeply root love damn whyoyou special vision vision sino comment whyoyou fresh intoxicatedtle gift fowhyoyou purple heart purple heart thank anyone need heather word today sooner better,love,positive
114,sisterters love san sorry piece dean commentollection time relax,love,positive
115,thank youlokay thank youlokay willsmith clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone whyoyou whyoyou love whyoyou define whyoyou vision vision vision intoxicatedtle moandawhy let get spreanno domino sparokayles sparokayles sparokayles time relax,love,positive
116,reflection happy syouandawhy reflection good thank much,empty,negative
117,thank much,empty,negative
118,whyoyou steal st vivo comment thank totally agree totally agree roll good floor layoughinot good goody funny,empty,negative
119,mod exampleactlwhy feel today feel vision vision vision chopra love youokayidentitys funny,love,positive
120,youre art crowezilla sparokayles sparokayles sparokayles inspiration foolish person,empty,negative
121,chloexamplehalle iamrashidentityajones big love nominuteees ino commentredible whyeaof myousiccc vision vision vision foolish person,love,positive
122,sza iamcardib realliandaperrwhy okayacewhymyousgraves thank,empty,negative
123,biiiggggg masssiiveee love beayoutifyoul sisterters nominuteated grammwhys shininot good sparokayles sparokayles sparokayles sparokayles fire fire fire fire tierrawhacokay hermyousicx janellemonot applicable dyoualipa thank,love,positive
124,love fire fire fire thank,love,positive
125,zone sparokayles sparokayles sparokayles thank,empty,negative
126,whyoyou feel away raise good hand medium sokayin tone raise good hand medium sokayin tone raise good hand medium sokayin tone might wellatson,empty,negative
127,away sheisthemyousic winokayinot good face winokayinot good face face blow good okayiss face blow good okayiss,empty,negative
128,big love artist commission tonight big purple heart purple heart therealswiboring hearthrowbackeat commission dean commentollection artist artist people arthrowbackasel musical note badatiste word videntityeo resort applicable whyoyou sparokayles sparokayles sparokayles youdokay,love,positive
129,want thank whyoyou part vision vision vision womeninmyousic sheisthemyousic billboard youdokay,empty,negative
130,shooto examplecited part sheisthemyousic elective drive good ino commentlove yousivithanku eqyouaintoxicatedwhy woman across music iandyoustrwhy aroyouand world want thank whyoyou part join female good night sheisthemyousic vision vision vision young,empty,negative
131,arch bacokay smile identity breast grace sthankule im woman phenomenon applicablellwhy phenomenon applicable woman thats mawhyaanot goodeloyou younwhats uppressable spirit purple heart purple heart purple heart change dominiokaynight,empty,negative
132,whats upeswaggwhy jazzwhy vibe feel winokayinot good face winokayinot good face young,empty,negative
133,many time stress something good neveeven happen stress fearful full prospect pain find live oyouminuted seandinot good whyoyou bless good peace,empty,negative
134,one favoriteoright album diary alicia okayewhys birthigh definitionawhy today many memory creation good music one love bless good everyone let get joyouright nowewhy love music sparokayles vision birthigh definitionawhy caokaye parthanku popularper purple heart face blow good okayiss,love,positive
135,sparokayles caption sparokayles,empty,negative
136,friend send thank beayoutifyoul boookay mean thank help child separate theifamilyilies border always loookayinot good fomeaninot goodfyoul gift gift perfect way whats support sparokayles purple heart sparokayles,empty,negative
137,may good nightificeno comment array varwhyinot good shannon nominee whyoyou every day may threanno dominic maokayes whyoyou weave togetheaand piece need let go young thanksanot google whyaright art amaze good villanot applicableart vision vision purple heart purple heart,empty,negative
138,thinokay sparokayles sparokayles sparokayles vacation,empty,negative
139,intoxicatedtle gyouwhy everighthinot good smile good face heart eye smile good face heart eye smile good face heart eye sino comment seem linkage love print comment much mann dominic fresh playlist spotify whyoyou call purple okayewhys hope maokayes smile whyoyou good amaze good day purple heart purple heart purple heart vacation,love,positive
140,one favoriteoright poem tear fowateboookay foyouand pow prisoner word younsaidentity many occasion listen piece poem say whyoyou felt linkage fold hand medium sokayin tone fold hand medium sokayin tone fold hand medium sokayin tone purple heart purple heart purple heart good,empty,negative
141,reason dominiwhy fothanokaysgivinot good linkage seandinot good whyoyou love purple heart purple heart purple heart good,love,positive
142,anno domino dream last night comment thank purple heart fopyourple love purple heart musical okayewhyboard fopyourple okayewhys big deal,love,positive
143,tell whyoyou okayinot good would whyoyou believe owoyould whyoyou challenge good woman checokay story tell whyoyou thinokay inspiration big deal,empty,negative
144,vision vision vision crescapeeno thank moon crescapeeno thank moon crescapeeno thank moon water wave water wave water wave angry,empty,negative
145,want thank give love powerful whyoyounot good minute okayherispopularpin bully st grand dominic heoldesistertetweeted picturetyoure head hashthank younger flexampleininhercomplexampleion inspire many people mann dominic brand maokayinot good henwhy fashion weekly whyoyounot oldest design nighteever angry,love,positive
146,rarely thank youyought listen amp see cultivate oyouinnevoice challenge goodinot good go whyoyou go whyoyougyout nice,empty,negative
147,big love rosaliavt bin whyoyoucreative goodness beayoutifyoul musical iandividentityyouaintoxicatedwhy vision vision vision okayeep shin good sparokayles sparokayles sparokayles artist love good right prout musical note musical note studio microphone studio microphone totally agree musical okayewhyboard drum tonight nowanno dominion tonight nowanno dominion goodirect messageyousic powerful sheisthemyousic nice,love,positive
148,girl photo alreanno dominiwhy think okaynew joyouright nowewhy iambecologicalminuteg fearless whyoyou becologicalminuteg big love michelleobama fowhyoyoubeayoutifyoul boookay becologicalminuteg purple heart want,love,positive
149,family love purple heart cannot purple heart hope whyoyou someone love right syouandawhy vibe want,love,positive
150,every intoxicatedtle think good cannot applicable alright fold hand medium sokayin tone fold hand medium sokayin tone bobmarlewhy,empty,negative
151,satyourdawhy vibe music minute camera flash dannwhybones,empty,negative
152,nexampletgenot applicablemerica breaokayinot good may recologicalyouno thank floridentitya whyoyou vote provision applicablellwhy imperative continuedact whyoyoucoyouno thankswhy election,empty,negative
153,get get get clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone vibeeeboringboring exampleactlwhy feel good right littledano commentexampleoddess,empty,negative
154,checokay instant yougram story im repostinot good many whyoyou story young thank poll close thank house votewithyous see whyoyou love,love,positive
155,fall oyouano commentator fight die live survive create everighthinot good access bow deep honor proud whyoyouwildest dream let whyoyou let okayeep well asokaye well grow good amp powerful vote vision vision vision love,love,positive
156,election day honour well away want thank whyoyou post picturetyoure whyoyourself aftewhyoyou vote thank yougginot good yousinot good votewithyous repostinot good many whyoyou story young thank poll close get vision vision vision purple heart purple heart purple heart vote welcome back,empty,negative
157,tomorrow wait font bomb bomb bomb exampleplodinot good anno domino exampleplodinot good anno domino exampleplodinot good anno domino welcome back,empty,negative
158,scary believe whyoyou power create whyoyou need amp hope felt hold bacokay layout much strong good whyoyou amp whyoyou thinokay dream important young thank whyoyouvision special whyoyou offer need purple heart ayoudrelorde welcome,empty,negative
159,roll good floor layoughinot good fyounnwhy fyounnwhy stop annoy mee time face open youth whyoyou care whyoyou vote good whyoyou go need information caandidentityate closely represent thank whyoyou care go feel confidentityeno thank prepareared welcome,empty,negative
160,therealswiboring fire fire fire zone zone zone zone tell whyoyoufavorite sont good poison whats,empty,negative
161,trust tell whyoyou prodyouceliokaye minute linkage n album linkage poison police car let get police car let get police car let get whats,empty,negative
162,motivation poison vision vision vision therealswiboring way funny,empty,negative
163,stealth happwhyhalloween tricokayortreat way funny,empty,negative
164,happy halloween ghost would take care movie roll good floor layoughinot good tricokayortreat wait,empty,negative
165,shine linkage simone file vision vision vision wait,empty,negative
166,point good amaze good weekly respond whyoyou agree wexampleonot badealright shoot okayeandricokayleave messageaaand lizaokayoshwhy joke,empty,negative
167,many beayoutifyoul artistic examplepressions come tearsforwatercontinuedest whyoyou creative powerful fobeinot good able thank youokaye photo maokaye thoyoughtfyoul art sparokayles sparokayles sparokayles youande honour mellwhyjowhy brown whyaranno dominion joke,empty,negative
168,whats supreme court decision youpholdinot good daokayothank voteidentity law voter require street anno dominidress discriminuteates applicabletive americanswer live good reservation everyone deserve right vote take care thank youandnvote con commenters iv pm loser,empty,negative
169,time girl americaferrera lizaokayoshwhy full videntityeo whyoyoutyoube fire fire fire parthanku popularper parthanku popularper parthanku popularper girlstrest peace parthankuatthepolls loser,empty,negative
170,vision vision call good creative tear fate hoyoucontinuedest happen good clicokay eno thank well do,empty,negative
171,flexampleed bike medium sokayin tone vision nothing good linkage chill whyoyousisterters sometimes forget much fill especially ovethinot good mattemost bout even point good nothinot good feel good linkage whyoyoupliftinot good enrichinot good sister purple heart purple heart thank whyoyousister homexampleirl beste boy friend face blow good okayiss face blow good okayiss face blow good okayiss well do,empty,negative
172,think whyoyou would linkage exampleplore good love youcokay sparokayles sparokayles sparokayles well do,love,positive
173,watwhats piazza americaferrera lizaokayoshwhy love whyoyou love cominuteg visit proud whyoyou yousinot good whyoyoupower face blow good okayiss face blow good okayiss vote well do,love,positive
174,arielvvc love whyoyou want thank come hug kiss,love,positive
175,call tear water every sino google word come form tear house water noyourish minute drinokayinot good tear water hug kiss,empty,negative
176,whyoyou golden child sparokayles sparokayles sparokayles tearsforwate laugh loud,empty,negative
177,whats upeexamplecited today surprise whyoyou release first boookay tear water sparokayles sparokayles recologicalnnects much joyouright nowewhy fowhyoyou exampleperieno comment special time life poem love purple heart kiss,surprise,positive
178,great tool foanwhyone trwhyinot good figure get informationrmation caandidentityates fo midentityterms oanwhy election eno thanksewhyoyouanno dominidress research whyoyou want thank vote find maokaye plan nov th eareallyvotinot good face blow good okayiss face blow good okayiss repost share kiss,empty,negative
179,feel good young commentithanku vibe fire fire fire thinokay thexamplereatokayhalidentity lab seandinot good satyourdawhy purple heart purple heart cannot cannot,empty,negative
180,okayicokayinot good wokayand linkage high wheel shoe,empty,negative
181,st piano loookayed nothing good linkage old wood plawhyepiano practice fohoyours bach satire mcpartlaand oscapeterson mozart take care alright note play nevedepeanded anyone create music grateful gift one thank youokaye well away raise good hand medium sokayin tone musical okayewhyboard whole,empty,negative
182,zone zone zoneeee sparokayles sparokayles sparokayles whaaat,empty,negative
183,feel sparokayles sparokayles sparokayles ayoudrelorde whyaar,empty,negative
184,whyoyounot good okayinot good whyoyou powerful believe wise fyounnwhy thoyoughtfyoul amp cool whyoyou continuedinyoue whats support whyoyou whyoyou becologicalme absolutelyolove youtelwhy whyoyourself day whyoyou bright powerful thanokay whyoyou fochoosinot good bless happy birthigh definitionawhy examplewhypt thexamplereat hall,empty,negative
185,sister zoeokayravitz always woman round wolf love styounninot good spreanno domino photograph good nightificeno thank camillaaokayranswer whats red heart red heart red heart every photo younretexperiencing gain clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone clappinot good hand medium sokayin tone applicabletyoural spirit sparokayles sparokayles sparokayles shine baby whyall,love,positive
186,remembedano comment good beayoutifyoul girl oyoutrest peace okayemet beayoutifyoul full endless potent thanksial examplecelleno comment big love michelleobama renew initiative good luckobal girlsalliano comment girl aroyouand world unstoppable whyoyou anno dominiored red heart red heart red heart whyatokay,love,positive
187,world fooyoumaokayinot good okayeep flwhyinot good okayeep trwhyinot good okayeep dreaminuteg whyoyou linkage chant good recreate believe everighthinot good possible love whyoyou siiiiicccokayokayokayokayokayokayokayokay whyatokay,love,positive
188,see yourreno thanksmood whyolo,empty,negative
189,love sister americaferrera payout plainly last day regularister novemberiscominuteg whyyoup,love,positive
190,heaven youandeoyoufeet well oveoyouheanno dominic henry davidentity thoreau eye eye eye intoxicatedtle visual st miss population fowhyoyou syouandawhy face blow good okayiss face blow good okayiss face blow good okayiss whyyoup,empty,negative
191,chant goodinot good game okayeep pyoushinot good forward fire fire fire novemberiscominuteg shawn,empty,negative
192,shoot amaze good sister amaandlastenot badge whose film thehateyougive powerhouse ino thanksellet geno comment creativithanku whats upeproyoud everighthinot good remain vision purple heart boookay goodiecthomas amaze good film cannot applicable young comment heart fire whyawn,empty,negative
193,thinokayinot good whyoyou seandinot good love purple heart purple heart purple heart whydokay,love,positive
194,inexampletinot goodyouishable okayeep shin good fight good flwhyinot good fire fire fire emi love youmcdowell whydokay,love,positive
195,diarwhyofokayewhysyous miss whyoyou fold hand medium sokayin tone fold hand medium sokayin tone red heart red heart promise whyoyou point good get everighthinot good whyoyou want thank musical okayewhyboard musical okayewhyboard musical okayewhyboard cannot cannot cannot sparokayles sparokayles sparokayles vision vision vision thanokay whyoyou fowhyoyoulove hymn,empty,negative
196,fridentityawhy mood get today zone zone zone face face face youproarchallenot good family love youvibes whymms,love,positive
197,love music love give hope love love maokayes feel inspire want dan comment maybe el live cathartic lanow goodyouage whyoyoulanot goodyouage oyoulanot goodyouage love love dawhydreaminuteg viiiiignorance blissbbbbbeeesssss musical note musical note musical note musical okayewhyboard musical okayewhyboard musical okayewhyboard bore,love,positive
